EmployeeCode,DateofJoin,DateOfRelieving,AttritionMonth,ExperienceInAGS,Experience.Range,EmployeeAge,Gender,MaritalStatus,Shift,WorkFacility,WorkLocation,JobRole,Designation,ExperienceType,LastReviewType,LastReviewDate,LastReviewRating,LastButOneReviewType,LastButOneReviewDate,LastButOneReviewRating,ProdAvgDuringNotice,QualAvgDuringNotice,ProdAvgBeforeNotice,QualAvgBeforeNotice,ProdAvgDuringNoticeRange,QualAvgDuringNoticeRange,ProdAvgBeforeNoticeRange,QualAvgBeforeNoticeRange,Course,Last30DaysLeaveCount,TotalExtraHoursWorked,Function,Shift_Name,Rating Bracket,TransportMode,Distance,TravelTimeRange,TravelTime,Availability_Filter,Available,Involuntary Exit,Voluntary Exit,VolInVol Attrition,Attrition,ExitType,ReasonofLeaving,RptEmployeeName,RptEmployeeCode,Rpt2EmployeeCode,DateofBirth,PrevShift,PrevWorkFacility,PrevWorkLocation,CurrentAddressCity,CurrentAddressPincode,PermenantAddressCity,PermenantAddressPincode,RptEffectiveFrom,RptSpanofControl,Process,Client,SubClient,ProjectEffectiveFrom,PrevVertical,PrevProcess,PrevClient,PrevSubClient,PrevEmployer,EngagementIndex,StaffingEmployeeStatus,Vertical,Department,DepartmentGroup
R00031,5/2/2011,,,67, Month 60 <,36,Male,Married,06:00PM-03:00AM,NMR,Chennai,Team Member,Quality Analyst - Level 1,Lateral,Annually,7/15/2016,3.95,Annually,7/15/2016,3.95,113.03,100,109.66,99.46,110% +,098 - 100 %,100 - 110 %,098 - 100 %,NA,0,1,Non-Voice,Night,B +,Train,,,0,Current Employee,1,0,0,0,0,,,shruthi.pugazhenthi,R00320,R03378,5/17/1980,01:00PM-10:00PM(Day),NMR,Chennai,Chennai,600062,Chennai,600062,10/12/2016,,AR Follow Up,AdvancedMD,AdvancedMD,3/30/2016,AR,AR Follow Up,McKesson,NYU,Ajuba,Amber,QA,Accounts Receivable,Revenue Cycle Management,Operations
R00037,5/2/2011,1/25/2016,2016-01,58, Month 36-60,33,Female,Married,06:30AM-03:30PM,Prince Infocity,Chennai,Team Member,Process Analyst - Level 1,Lateral,Half-Yearly,1/18/2016,3.66,Half-Yearly,1/18/2016,3.66,102.7,99.12,115.68,97.8,100 - 110 %,098 - 100 %,110% +,095 - 098 %,BA/Bcom/BPharm,22,0,Non-Voice,Day,B +,Train,10.3,< 1 Hour,29,Employee Left,0,0,1,1,1,Voluntary,Personal Reasons,shanmuga.nathan,R00270,R00411,8/30/1983,08:00AM-05:00PM,Tidel 8th,Chennai,Chennai,600042,Avadi,600054,11/13/2014,27,AR Follow Up,SG,SG,1/1/2015,,,,,Ajuba solution Pvt Ltd,Red,,Accounts Receivable,Revenue Cycle Management,Operations
R00046,5/6/2011,,,67, Month 60 <,35,Female,Married,08:00AM-05:00PM,Prince Infocity,Chennai,Team Member,Process Analyst - Level 1,Lateral,Annually,7/25/2016,3.36,Annually,7/25/2016,3.36,102.11,92.8,105.39,97.81,100 - 110 %,090 - 095 %,100 - 110 %,095 - 098 %,BA/Bcom/BPharm,1,0,Non-Voice,Day,B,Bus,,,0,Current Employee,1,0,0,0,0,,,prakash.gandhi,R00566,R00041,1/14/1981,,Tidel 8th,Chennai,Perungudi,600096,Perungudi,600096,5/18/2015,,AR Follow Up,NMBS,APM,1/1/2015,,,,,Ajuba solutions,Green,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R00066,6/1/2011,,,66, Month 60 <,45,Female,Married,08:00AM-05:00PM,Prince Infocity,Chennai,Team Member,Process Analyst - Level 2,Lateral,Annually,7/25/2016,4.01,Annually,7/25/2016,4.01,99.22,94.07,100.24,98.82,095 - 100 %,090 - 095 %,100 - 110 %,098 - 100 %,MSc/Mpharm/MPhil,20,12,Non-Voice,Day,A,Bus,,,0,Current Employee,1,0,0,0,0,,,prakash.gandhi,R00566,R00041,3/10/1971,10:00AM-07:00PM,Prince Infocity,Chennai,Poonamallee,600056,Poonamallee,600056,11/23/2016,,AR Follow Up,NMBS,APM,1/12/2016,Billing / Transmission,Transmission,NMBS,NMBS,Ajuba,Green,Long Leave,Accounts Receivable,Revenue Cycle Management,Operations
R00114,6/27/2011,,,65, Month 60 <,29,Female,Married,06:30AM-03:30PM,Prince Infocity,Chennai,Team Member,Process Associate - Level 2,Fresher,Annually,7/13/2016,3.54,Annually,7/13/2016,3.54,101.05,98.09,100.44,99.28,100 - 110 %,098 - 100 %,100 - 110 %,098 - 100 %,BSc,2,14,Non-Voice,Day,B +,Bus,,,0,Current Employee,1,0,0,0,0,,,srinivasan.chandrasaker,R00582,R00583,12/15/1987,08:00AM-05:00PM,Tidel 8th,Chennai,Chennai,600097,Chennai,600097,7/3/2015,,AR Follow Up,EMS,EMS,9/12/2016,AR,AR Follow Up,SG,SG,chandru data services,Green,FTE-Ramp Up,Accounts Receivable,Revenue Cycle Management,Operations
R00124,7/1/2011,,,65, Month 60 <,34,Male,Married,10:00AM-07:00PM,Prince Infocity,Chennai,Team Member,Quality Analyst - Level 1,Lateral,Annually,7/25/2016,3.79,Annually,7/25/2016,3.79,103.37,99.67,103.14,99.67,100 - 110 %,098 - 100 %,100 - 110 %,098 - 100 %,BSc,0.5,0,Non-Voice,Day,B +,Bus,,,0,Current Employee,1,0,0,0,0,,,Appavu.RajaDurai,R01985,R00401,7/14/1982,08:00AM-05:00PM,Tidel 8th,Chennai,Chennai,600057,Chennai,600057,5/13/2016,,Medical Coding,EMS,EMS,11/30/2015,Billing / Transmission,Pre-Coding,EMS,EMS,AJUBA SOLUTIONS,Green,QA,Accounts Receivable,Revenue Cycle Management,Operations
R00151,7/1/2011,,,65, Month 60 <,25,Male,UnMarried,08:00AM-05:00PM,Prince Infocity,Chennai,Team Member,Process Associate - Level 2,Lateral,Annually,7/26/2016,4.01,Annually,7/26/2016,4.01,108.97,98.62,127.96,96.79,100 - 110 %,098 - 100 %,110% +,095 - 098 %,BSc,0,12,Non-Voice,Day,A,Two Wheeler,,,0,Current Employee,1,0,0,0,0,,,Parthiban.Boopathi,R00802,R00218,6/7/1991,06:00PM-03:00AM(Day),Tidel 5th,Chennai,Chennai,600098,Vellore,635810,11/3/2016,,AR Follow Up,RTI,RTI,9/6/2016,TP,Payment Posting,HPP,HPP,MANOJKUMAR,Green,Ramp,Accounts Receivable,Revenue Cycle Management,Operations
R00153,7/5/2011,,,65, Month 60 <,33,Male,Married,01:00PM-10:00PM,NMR,Chennai,Team Member,Process Associate - Level 2,Lateral,Annually,7/18/2016,4.3,Annually,7/18/2016,4.3,125.02,100,120.7,99.7,110% +,098 - 100 %,110% +,098 - 100 %,BA/Bcom/BPharm,0,1,Non-Voice,Day,A,Two Wheeler,,,0,Current Employee,1,0,0,0,0,,,jebakumar.ashokraj,R00520,R02328,6/3/1983,12:00PM-09:00PM,Elnet,Chennai,Chennai,600049,Chennai,600049,9/16/2014,,AR Follow Up,McKesson,UPA,12/31/2014,,,,,Technosoft Global P ltd,Green,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R00168,7/6/2011,,,65, Month 60 <,26,Female,UnMarried,08:00AM-05:00PM,Prince Infocity,Chennai,Team Member,Process Associate - Level 2,Lateral,Annually,7/18/2016,4.08,Annually,7/18/2016,4.08,120.65,99.25,117.83,99.85,110% +,098 - 100 %,110% +,098 - 100 %,NA,2,8,Non-Voice,Day,A,Bus,,,0,Current Employee,1,0,0,0,0,,,Sathish.Neelakandan,R00682,R00511,5/30/1990,,Tidel 8th,Chennai,Perungudi,600096,Perungudi,600096,9/16/2016,,AR Follow Up,McKesson,NYU_Direct,10/5/2015,AR,AR Follow Up,McKesson,NYU,P Sumathi,Green,FTE,Accounts Receivable,Revenue Cycle Management,Operations
R00208,7/12/2011,,,65, Month 60 <,34,Male,Married,06:00PM-03:00AM,Prince Infocity,Chennai,Team Member,Quality Analyst - Level 2,Lateral,Annually,7/19/2016,3.89,Annually,7/19/2016,3.89,101.39,97.61,106.06,99.68,100 - 110 %,095 - 098 %,100 - 110 %,098 - 100 %,NA,1,6,Non-Voice,Day,B +,Two Wheeler,,,0,Current Employee,1,0,0,0,0,,,Rajkumar1.Ravikumar,R07328,R02455,6/7/1982,06:30AM-03:30PM,Elnet,Chennai,Kancheepuram,600115,Vellore,632001,11/10/2016,,AR Follow Up,RTI,RTI,11/10/2016,AR,AR Follow Up,NMBS,Non APM,TECHNOSOFT GLOBAL SERVICES PVT LTD,Green,FTE,Accounts Receivable,Revenue Cycle Management,Operations
