"EmployeeCode","ExperienceInAGS","EmployeeAge","Gender","MaritalStatus","WorkLocation","JobRole","ExperienceType","ProdAvgDuringNotice","QualAvgDuringNotice","Course","Last30DaysLeaveCount","TotalExtraHoursWorked","Function","Shift","TransportMode","EngagementIndex","Availability_Filter","Attrition","Available"
"R00031",67,36,"Male","Married","Chennai","Team Member","Lateral",113.03,113.03,"MSc/Mpharm/MPhil",0,1,"Non-Voice","06:00PM-03:00AM","Train","Amber","Current Employee",0,1
"R00037",58,33,"Female","Married","Chennai","Team Member","Lateral",102.7,102.7,"BA/Bcom/BPharm",22,0,"Non-Voice","06:30AM-03:30PM","Train","Red","Employee Left",1,0
"R00046",67,35,"Female","Married","Chennai","Team Member","Lateral",102.11,102.11,"BA/Bcom/BPharm",1,0,"Non-Voice","08:00AM-05:00PM","Bus","Green","Current Employee",0,1
"R00066",66,45,"Female","Married","Chennai","Team Member","Lateral",99.22,99.22,"MSc/Mpharm/MPhil",20,12,"Non-Voice","08:00AM-05:00PM","Bus","Green","Current Employee",0,1
"R00114",65,29,"Female","Married","Chennai","Team Member","Fresher",101.05,101.05,"BSc",2,14,"Non-Voice","06:30AM-03:30PM","Bus","Green","Current Employee",0,1
"R00124",65,34,"Male","Married","Chennai","Team Member","Lateral",103.37,103.37,"BSc",0.5,0,"Non-Voice","10:00AM-07:00PM","Bus","Green","Current Employee",0,1
"R00151",65,25,"Male","UnMarried","Chennai","Team Member","Lateral",108.97,108.97,"BSc",0,12,"Non-Voice","08:00AM-05:00PM","Two Wheeler","Green","Current Employee",0,1
"R00153",65,33,"Male","Married","Chennai","Team Member","Lateral",125.02,125.02,"BA/Bcom/BPharm",0,1,"Non-Voice","01:00PM-10:00PM","Two Wheeler","Green","Current Employee",0,1
"R00168",65,26,"Female","UnMarried","Chennai","Team Member","Lateral",120.65,120.65,"BSc",2,8,"Non-Voice","08:00AM-05:00PM","Bus","Green","Current Employee",0,1
"R00208",65,34,"Male","Married","Chennai","Team Member","Lateral",101.39,101.39,"BCA/BBA",1,6,"Non-Voice","06:00PM-03:00AM","Two Wheeler","Green","Current Employee",0,1
"R00218",65,33,"Male","Married","Chennai","Team Leader","Lateral",33.33,33.33,"BSc",2.5,0,"Voice","12:00PM-09:00PM","Two Wheeler","Green","Current Employee",0,1
"R00238",65,33,"Male","Married","Chennai","Team Member","Lateral",101.02,101.02,"BA/Bcom/BPharm",2,13,"Non-Voice","08:00AM-05:00PM","Train","Green","Current Employee",0,1
"R00239",65,32,"Male","UnMarried","Chennai","Team Member","Lateral",114.9,114.9,"BA/Bcom/BPharm",0,7,"Non-Voice","10:00AM-07:00PM","Two Wheeler","Green","Current Employee",0,1
"R00240",65,27,"Female","Married","Chennai","Team Leader","Lateral",120.69,120.69,"MA/Mcom",2,0,"Non-Voice","12:00PM-09:00PM","Others","Green","Current Employee",0,1
"R00245",65,40,"Male","Married","Chennai","Team Member","Lateral",131.46,131.46,"BA/Bcom/BPharm",0,19,"Non-Voice","08:00AM-05:00PM","Bus","Green","Current Employee",0,1
"R00247",65,33,"Male","Married","Chennai","Team Member","Lateral",121.96,121.96,"BCA/BBA",1,4,"Non-Voice","01:00PM-10:00PM","Cab","Green","Current Employee",0,1
"R00256",65,34,"Male","Married","Chennai","Team Member","Lateral",106.5,106.5,"HSC",1.5,83,"Non-Voice","12:00PM-09:00PM","Train","Green","Current Employee",0,1
"R00273",65,27,"Male","UnMarried","Chennai","Team Member","Lateral",118.85,118.85,"BCA/BBA",1,0,"Non-Voice","01:00PM-10:00PM","Others","Green","Current Employee",0,1
"R00276",65,31,"Male","Married","Chennai","Team Member","Lateral",110.99,110.99,"BSc",3,11,"Non-Voice","04:00PM-01:00AM","Cab","Green","Current Employee",0,1
"R00278",65,31,"Male","Married","Chennai","Team Member","Lateral",107.41,107.41,"BSc",2,0,"Non-Voice","08:00AM-05:00PM","Bus","Amber","Current Employee",0,1
"R00280",64,29,"Male","UnMarried","Chennai","Team Leader","Lateral",121.3,121.3,"BSc",1,0,"Non-Voice","06:00PM-03:00AM","Bus","Green","Current Employee",0,1
"R00304",64,32,"Male","Married","Chennai","Team Member","Lateral",111.18,111.18,"HSC",0,0,"Non-Voice","06:00PM-03:00AM","Train","Green","Current Employee",0,1
"R00309",61,33,"Male","Married","Chennai","Team Member","Lateral",113.87,113.87,"BA/Bcom/BPharm",20,0,"Non-Voice","06:00PM-03:00AM","Two Wheeler","Red","Employee Left",1,0
"R00311",57,30,"Male","UnMarried","Chennai","Team Member","Lateral",119.19,119.19,"BA/Bcom/BPharm",0,0,"Voice","04:00PM-01:00AM","Cab","Red","Employee Left",1,0
"R00326",64,27,"Male","UnMarried","Chennai","Team Leader","Lateral",108.92,108.92,"BCA/BBA",0,0,"Voice","06:30PM-03:30AM","Cab","Green","Current Employee",0,1
"R00333",64,33,"Male","Married","Chennai","Team Leader","Lateral",41.59,41.59,"BCA/BBA",6,0,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R00346",64,31,"Female","UnMarried","Chennai","Desk Head / Team Co-ordinators","Lateral",125.77,125.77,"MBA",0,0,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R00368",64,29,"Male","Married","Chennai","Team Member","Lateral",108.4,108.4,"MBA",1,0,"Voice","06:00PM-03:00AM","Cab","Amber","Current Employee",0,1
"R00371",64,27,"Male","UnMarried","Chennai","Team Leader","Lateral",66.67,66.67,"HSC",2,0,"Voice","06:00PM-03:00AM","Two Wheeler","Green","Current Employee",0,1
"R00387",64,30,"Male","UnMarried","Chennai","Team Member","Lateral",101.65,101.65,"BSc",1,23,"Non-Voice","08:00AM-05:00PM","Bus","Green","Current Employee",0,1
"R00388",64,34,"Male","Married","Chennai","Team Member","Lateral",94.08,94.08,"BA/Bcom/BPharm",1,44,"Non-Voice","08:00AM-05:00PM","Two Wheeler","Green","Current Employee",0,1
"R00390",64,36,"Male","Married","Chennai","Team Member","Lateral",103.09,103.09,"MBA",2,0,"Non-Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R00410",63,28,"Female","Married","Chennai","Team Member","Lateral",99.78,99.78,"BSc",1,16,"Non-Voice","06:30AM-03:30PM","Two Wheeler","Green","Current Employee",0,1
"R00440",63,29,"Male","Married","Chennai","Team Member","Lateral",99.23,99.23,"BSc",11,17,"Voice","06:00PM-03:00AM","Cab","Red","Current Employee",0,1
"R00457",63,40,"Male","Married","Chennai","Team Member","Lateral",109.91,109.91,"BA/Bcom/BPharm",2,0,"Non-Voice","04:00PM-01:00AM","Two Wheeler","Green","Current Employee",0,1
"R00458",63,26,"Male","UnMarried","Chennai","Team Member","Lateral",110.59,110.59,"BSc",1,0,"Non-Voice","06:00PM-03:00AM","Train","Green","Current Employee",0,1
"R00472",62,31,"Male","UnMarried","Chennai","Team Member","Lateral",92.31,92.31,"Diploma",2,8,"Non-Voice","08:00AM-05:00PM","Cab","Green","Current Employee",0,1
"R00487",61,30,"Male","Married","Chennai","Team Leader","Lateral",29.83,29.83,"BE/Btech",1,0,"Voice","04:00PM-01:00AM","Cab","Green","Current Employee",0,1
"R00494",61,29,"Male","Married","Chennai","Desk Head / Team Co-ordinators","Lateral",122.57,122.57,"SSLC",0,2,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R00495",61,34,"Male","Married","Chennai","Team Member","Lateral",106.92,106.92,"BCA/BBA",2,0,"Voice","06:30PM-03:30AM","Cab","Red","Current Employee",0,1
"R00496",61,29,"Male","Married","Chennai","Team Leader","Lateral",124.81,124.81,"BA/Bcom/BPharm",0,6,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R00513",60,33,"Male","Married","Chennai","Team Member","Lateral",112.76,112.76,"BSc",0.5,0,"Non-Voice","11:00AM-08:00PM","Bus","Amber","Current Employee",0,1
"R00520",60,32,"Male","Married","Chennai","Team Leader","Lateral",127.49,127.49,"BCA/BBA",1,0,"Voice","04:00PM-01:00AM","Two Wheeler","Green","Current Employee",0,1
"R00526",60,42,"Male","Married","Chennai","Team Member","Lateral",101.23,101.23,"HSC",1,0,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R00566",59,30,"Male","Married","Chennai","Team Leader","Lateral",110.3,110.3,"Diploma",1,0,"Voice","12:00PM-09:00PM","Two Wheeler","Green","Current Employee",0,1
"R00570",59,29,"Male","UnMarried","Chennai","Team Leader","Lateral",112.54,112.54,"BSc",1,0,"Non-Voice","10:00AM-07:00PM","Two Wheeler","Green","Current Employee",0,1
"R00582",59,27,"Male","UnMarried","Chennai","Team Leader","Lateral",116.68,116.68,"MCA",2,0,"Non-Voice","06:30PM-03:30AM","Bus","Green","Current Employee",0,1
"R00589",59,35,"Male","Married","Chennai","Team Leader","Lateral",137.07,137.07,"BSc",3,0,"Non-Voice","10:00AM-07:00PM","Two Wheeler","Green","Current Employee",0,1
"R00590",59,30,"Male","UnMarried","Chennai","Team Member","Lateral",107.17,107.17,"BSc",16.5,0,"Non-Voice","06:00PM-03:00AM","Bus","Amber","Current Employee",0,1
"R00594",59,36,"Male","Married","Chennai","Team Member","Lateral",98.16,98.16,"SSLC",3,0,"Voice","06:30PM-03:30AM","Cab","Green","Current Employee",0,1
"R00595",59,33,"Male","Married","Chennai","Team Leader","Lateral",111.86,111.86,"BSc",7,0,"Voice","04:00PM-01:00AM","Cab","Green","Current Employee",0,1
"R00620",58,30,"Female","Married","Chennai","Team Member","Lateral",109.28,109.28,"BSc",0,17,"Non-Voice","06:30AM-03:30PM","Bus","Green","Current Employee",0,1
"R00634",58,26,"Male","UnMarried","Chennai","Team Member","Lateral",118.46,118.46,"BCA/BBA",1,7,"Non-Voice","08:00AM-05:00PM","Bus","Green","Current Employee",0,1
"R00636",58,29,"Male","UnMarried","Chennai","Team Member","Fresher",107.66,107.66,"BA/Bcom/BPharm",1,30,"Non-Voice","06:00PM-03:00AM","Bus","Green","Current Employee",0,1
"R00649",57,29,"Male","Married","Chennai","Team Leader","Industry Fresher",118.52,118.52,"BE/Btech",0,0,"Voice","06:30AM-03:30PM","Two Wheeler","Green","Current Employee",0,1
"R00659",49,25,"Female","Married","Chennai","Team Leader","Lateral",39.15,39.15,"BA/Bcom/BPharm",4,0,"Non-Voice","06:30AM-03:30PM","Bus","Amber","Employee Left",1,0
"R00665",57,26,"Female","UnMarried","Chennai","Team Member","Lateral",117.65,117.65,"BSc",0,0,"Voice","06:00PM-03:00AM","Cab","Red","Current Employee",0,1
"R00671",57,32,"Female","Married","Chennai","Team Leader","Lateral",126.32,126.32,"MBA",0,0,"Voice","06:00PM-03:00AM","Cab","Green","Current Employee",0,1
"R00680",57,33,"Male","Married","Chennai","Team Member","Lateral",103.8,103.8,"MSc/Mpharm/MPhil",0,0,"Non-Voice","01:00PM-10:00PM","Bus","Green","Current Employee",0,1
